_181500475,480
_181500703,480
_181500801,480
_181500292,480
_181500829,480
_181500781,480
_181500272,480
_181500562,480
_181500413,480
_181500498,480
_181500422,480
_181500529,480
_181500336,480
_181500625,460
_181500423,460
_181500370,460
_181500066,460
_181500598,460
_181500524,460
_181500678,450
_181500554,450
_181500555,450
_181500410,450
jai_xvi,450
_181500486,447.95
_181500627,435.45
_181500762,425.45
_181500408,420
_181500394,420
_181500783,418.75
_181500507,412.73
_181500411,410
_181500714,410
_181500563,407.27
_181500417,407.14
_181500611,405.45
_181500017,390
_181500192,387.14
_181500289,381
_181500270,380
_181500125,380
_181500040,380
_181500303,380
_181500495,380
_181500376,380
_181500608,380
_181500032,360
_181500124,360
_181500606,350
_181500053,350
_181500201,340
_181500528,327.27
_181500144,310
_181500059,306.25
_181500135,300
_181500424,210
_181500343,199.87
_181500666,60
[deleted],60
[deleted],60
_181500841,20
its_rishabh624,0
_181500668,420
_181500732,420
_181500298,411.82
_181500295,390
_181500313,390
_181500654,390
[deleted],390
_181500378,372.73
abhishekjais22,360
_181500492,360
_181500509,360
_181500170,350
_181500047,340
_181500835,340
_181500363,330
_181500372,330
_181500392,330
_181500320,330
_181500160,330
_181500206,330
_181500708,330
_181500653,330
_181500458,330
_181500615,320
_181500242,317.14
_181500587,312.86
_181500382,310
_181500745,300
_181500508,300
_181500582,300
_181500036,300
_181500774,300
_181500609,300
_181500624,300
_191599010,300
_181500632,300
_181500169,280
_181500414,280
_181500356,280
_181500148,270
_181500749,270
_181500768,270
_181500261,260
_181500202,250
_181500594,250
_181500342,242.73
_181500824,240
_181500126,240
_181500019,240
_181500809,240
_181500669,238
BhanuMaxias,230
_181500217,230
_181500198,220
_181500395,210
_181500219,180
_181500056,170
_181500798,150
_181500566,140
_181500340,120
_181500386,111
[deleted],60
The_pandey_ji,0
_181500497,600
_181500569,592
_181500590,592
_181500337,580
_181500377,580
_181500294,580
_181500397,580
_181500077,580
_181500793,577
_181500346,576.25
_181500704,576.25
_181500150,567.14
_181500421,560
_181500315,558.57
_181500311,550
_181500307,550
_181500803,550
_181500330,550
_181500091,550
_181500403,550
_181500401,550
_181500819,550
_181500641,540
_181500696,533.64
_181500760,532
_181500523,530
_181500302,530
_181500799,530
_181500482,530
_181500583,530
_181500441,530
_181500830,520
_181500117,520
_181500104,520
_181500222,520
_181500728,520
_181500210,520
Mohit181500390,510
_181500438,510
_181500738,510
_181500109,488
_181500643,487
_181500136,480
_181500675,480
_181500225,480
_181500072,478.57
_181500339,477.25
_181500190,477.14
_181500312,477.14
_181500182,470
_181500588,470
_181500151,470
_181500373,467.14
_191599009,460
_181500364,445.45
_181500326,430
_181500081,420
_181500341,410
_181500054,410
_181500737,387.14
_181500238,370
_181500559,367.14
_181500825,365.86
_181500459,335.45
sajalsijariya,300
_181500621,300
_181500212,270
shubham_saraswat,210
_181500795,110
ashishag639,90
_181500390,60
_181500283,30
_181500291,30
coderkabh,0
_181500405,580
_181500820,566.25
_181500589,566
_181500823,555.45
_181500519,550
_181500512,540
_181500626,525.45
_181500172,520
_181500637,520
_181500448,500
_181500527,490
_181500145,490
_181500177,490
_181500650,480
_181500218,480
_181500128,480
_181500075,466.25
_181500074,461.25
_181500385,460
_181500764,450
_181500778,450
_181500484,450
_181500354,447.14
_181500304,440
_181500381,436
_181500060,430
_181500327,430
_181500195,420
_181500831,420
_181500400,417
_181500549,410
_181500506,395
_181500281,394
_181500765,390
_181500832,381.42
_181500309,360
_181500603,240
_181500184,60
_181500265,40
_181500785,540
_181500366,536.25
_181500539,516.25
_181500727,516.25
_181500471,516.25
_181500755,516.25
_181500142,512.5
_181500552,502.25
_181500050,496.25
_181500118,496.25
_181500602,496.25
_181500426,480
_181500759,480
_181500724,476.25
_181500725,476.25
_181500754,476.25
_181500746,476.25
_181500640,461.25
_181500596,460
_181500301,460
_181500713,456.25
__181500062,456.25
_181500635,446.25
_181500051,439.14
_181500412,436.25
_181500630,428.75
_181500501,420
_181500133,416.25
_181500002,410
_181500073,410
_181500692,401.25
_181500323,400
_181500350,371.25
_181500720,356.25
_181500155,356.25
_181500284,356.25
_181500163,350
_181500404,348.98
_181500634,342.5
_181500719,326.25
_181500797,320
_181500305,320
_181500228,300
_171500168,300
satyam_singh_cs3,300
_181500114,290
_181500197,280
_181500058,270
_181500365,270
_191599013,258
_181500021,258
_181500027,256
_181500466,251.25
_181500187,230
rajatbharti015,206.25
_181500681,161.25
_181500273,150
_191599005,140.27
_181500220,72.16
chaturvedianuj11,60
JuhiAgarwal7,60
_191599012,50
akshatdwivedi23,20
_181500062,20
_181500162,20
_181500180,600
_181500686,600
_181500200danish,580
_181500457,580
_181500147,560
_181500434,560
_181500157,560
_181500444,560
_181500496,555.71
_181500450,550
_181500267,540
shipra_171500317,520
_181500468,520
_181500291,494.75
_181500806,490
_181500407,480
_181500271,466.25
_181500449,460
_181500209,452.73
_181500250,437.14
_181500463,431.43
_181500362,430
_181500821,422.73
siddhant123anand,420
_181500134,400
_181500731,396.25
_181500299,387.25
_181500543,375.59
_181500431,370
_181500567,370
_181500702,340
shashank_yadav11,310
_181500333,305.45
_161500139a,296.25
_181500493,288.63
_191599006,280
_181500110,280
str1ver,270
Leviathan225,266.25
_181500613,260
_181500651,260
_181500817,257.14
_181500684,251.3
_191599018,250
_181500671,246.25
_181500758,236.25
rahul_sharma_cs2,220
_181500173,200
_161500139,196
_181500322,180
_181500442,160
_181500840,160
_181500269,156.25
_181500530,140
_181500211,140
snehil_gla_cs18,130
[deleted],90
_181500757,80
ayush_pathak_cs1,60
krishna_kant_cs1,60
_181500705,50
anuragtripathi,30
_181500089,20
ayush_gupta_cs18,20
Ravi_161500441,0
_181500664,480
_181500661,480
_181500090_,480
_171500128,480
_181500579,480
_181500233,460
_171500063,460
_181500813,460
_181500119,450
_181500205,445
181500013_abhis,430
_181500189,430
_181500146,426.25
_171500271,420
_181500306,416.25
_181500747,410
_181500108,400
